rank,Status_name,Youtuber,subscribers,video_views,category,uploads,Country,Abbreviation,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_day,Created_month_number,Created_date
294,ok,Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846,Shows,3781,United States,US,282,85,81,128448000,32100,513800,385300,6200000,700000,2013,Aug,30,8,8/30/2013
295,ok,Tsuriki Show,23000000,31494513067,Entertainment,2905,Germany,DE,34,1,15,756717000,189200,3000000,2300000,36300000,800000,2019,Jul,10,7,7/10/2019
296,ok,Technical Guruji,23000000,3378047383,Science & Technology,5041,India,IN,2420,60,5,22262000,5600,89000,66800,1100000,,2015,Oct,19,10,10/19/2015
297,ok,DrossRotzank,23000000,6041264489,Entertainment,1598,Argentina,AR,1040,5,80,35539000,8900,142200,106600,1700000,100000,2006,Mar,9,3,3/9/2006
298,ok,White Hill Music,23000000,10939966484,Entertainment,5718,India,IN,382,60,82,93183000,23300,372700,279500,4500000,100000,2014,Mar,23,3,3/23/2014
299,ok,Ultra Movie Parlour,22900000,5320485069,Movies,1670,India,IN,1248,61,22,118846000,0,0,0,0,300000,2011,May,17,5,5/17/2011
300,ok,Alan Becker,22900000,5380073627,Film & Animation,0,United States,US,4057944,7700,7453,,0,0,0,0,1,2006,Mar,21,3,3/21/2006
301,ok,toyorbabytv,22900000,16298342829,Music,1159,Jordan,JO,181,2,83,169056000,42300,676200,507200,8100000,300000,2012,Nov,1,11,11/1/2012
302,corrupted,BabyBus - Canciones Infantiles & Videos para Ni��,22900000,13206471140,Education,1251,Mexico,MX,278,12,17,136821000,34200,547300,410500,6600000,200000,2018,Mar,19,3,3/19/2018
303,ok,KL BRO Biju Rithvik,22800000,17988347989,Entertainment,1841,,,143,,79,2033000000,508100,8100000,6100000,97600000,3200000,2020,Jul,21,7,7/21/2020
304,ok,Vania Mania Kids,22700000,10115316784,People & Blogs,985,United States,US,438,87,18,155215000,38800,620900,465600,7500000,300000,2015,Sep,9,9,9/9/2015
305,ok,Like Nastya PRT,22700000,11568118121,Entertainment,654,,,344,,82,96613000,24200,386500,289800,4600000,100000,2019,Apr,9,4,4/9/2019
306,ok,Sun TV,22600000,20847038152,People & Blogs,60964,India,IN,109,63,82,982238000,245600,3900000,2900000,47100000,600000,2016,Feb,26,2,2/26/2016
307,ok,Heroindori,22600000,9223534599,Comedy,495,India,IN,508,62,81,399152000,99800,1600000,1200000,19200000,1400000,2020,Jun,29,6,6/29/2020
308,ok,The Chainsmokers,22600000,14231943358,Music,180,United States,US,246,88,84,81660000,20400,326600,245000,3900000,100000,2012,Sep,22,9,9/22/2012
309,ok,mmoshaya,22600000,17507060680,People & Blogs,1189,Saudi Arabia,SA,156,1,83,73829000,18500,295300,221500,3500000,100000,2010,Dec,11,12,12/11/2010
310,ok,Sia,22600000,13405849040,Music,171,United States,US,273,88,84,95253000,23800,381000,285800,4600000,,2007,Nov,19,11,11/19/2007
311,ok,LeoNata Family,22600000,27084848152,People & Blogs,2321,United States,US,57,87,11,1174000000,293500,4700000,3500000,56300000,1300000,2021,Sep,28,9,9/28/2021
312,ok,Goldmines Cineplex,22500000,2431154438,Film & Animation,3377,India,IN,3793,64,23,48740000,12200,195000,146200,2300000,200000,2015,Sep,12,9,9/12/2015
313,ok,Vlad and Niki Arabic,22500000,10613701948,,526,United States,US,399,89,84,65066000,16300,260300,195200,3100000,100000,2018,Nov,9,11,11/9/2018
314,ok,SSundee,22500000,13835173331,Gaming,3315,United States,US,261,90,21,175094000,43800,700400,525300,8400000,200000,2009,Nov,28,11,11/28/2009
315,ok,Paulo Londra,22400000,8040036209,Music,58,Argentina,AR,648,6,85,72242000,18100,289000,216700,3500000,,2016,Aug,8,8,8/8/2016
316,ok,Smile Family,22300000,8663830163,People & Blogs,34,France,FR,3805801,3046,4509,735,0.18,3,2,35,10,2019,Nov,3,11,11/3/2019
317,ok,FGTeeV,22300000,24059336857,Gaming,1724,United States,US,77,91,22,132110000,33000,528400,396300,6300000,100000,2013,May,24,5,5/24/2013
318,ok,Kinder Spielzeug Kanal (Kidibli),22200000,11136266461,Entertainment,999,United States,US,370,92,86,139333000,34800,557300,418000,6700000,200000,2015,Sep,25,9,9/25/2015
319,ok,Charlie Puth,22000000,9924807127,Music,157,United States,US,449,94,86,111500000,27900,446000,334500,5400000,100000,2009,Sep,9,9,9/9/2009
320,ok,Vlad and Niki ESP,22000000,8594440895,,515,United States,US,591,93,87,183871000,46000,735500,551600,8800000,200000,2018,Oct,11,10,10/11/2018
321,corrupted,Sagawa /���,22000000,18347969186,Entertainment,6274,Japan,JP,144,3,88,711254000,177800,2800000,2100000,34100000,800000,2021,Feb,13,2,2/13/2021
322,ok,Ben Azelart,21900000,4454917643,Film & Animation,301,United States,US,1620,94,88,184946000,46200,739800,554800,8900000,500000,2014,Jun,5,6,6/5/2014
323,ok,Zach Choi ASMR,21900000,5918314128,People & Blogs,946,United States,US,1069,94,12,234222000,58600,936900,702700,11200000,400000,2014,Jul,5,7,7/5/2014
324,ok,Topper Guild,21900000,15552070846,Comedy,816,United States,US,204,91,16,687028000,171800,2700000,2100000,33000000,1900000,2014,Jul,9,7,7/9/2014
325,corrupted,Disney Latinoam��,21900000,20657571751,Entertainment,116,Mexico,MX,1277277,2973,4085,4719,1,19,14,227,,2008,Apr,7,4,4/7/2008
326,ok,Stokes Twins,21800000,4469711607,People & Blogs,257,United States,US,1610,95,13,197953000,49500,791800,593900,9500000,600000,2008,Apr,11,4,4/11/2008
327,ok,National Geographic,21800000,5614621131,Science & Technology,10162,United States,US,1158,95,89,45812000,11500,183200,137400,2200000,100000,2006,May,7,5,5/7/2006
328,ok,Dua Lipa,21800000,11288359365,Music,164,United Kingdom,GB,368,14,87,128047000,32000,512200,384100,6100000,100000,2011,Feb,5,2,2/5/2011
329,ok,OneDirectionVEVO,21800000,12140232004,Music,266,United Kingdom,GB,322,14,87,51134000,12800,204500,153400,2500000,,2010,Dec,4,12,12/4/2010
330,ok,Rotana,21800000,19329351143,Music,135,,,926975,,2709,10571,3,42,32,507,100,2011,Oct,27,10,10/27/2011
331,ok,Netflix India,21800000,7780934187,People & Blogs,1,,,4052308,,7665,408,0,0,0,0,,2017,Sep,24,9,9/24/2017
332,ok,Sourav Joshi Vlogs,21700000,9392093496,People & Blogs,1390,,,498,,13,265336000,66300,1100000,796000,12700000,400000,2019,Feb,19,2,2/19/2019
333,ok,ZAMZAM ELECTRONICS TRADING,21700000,8507818877,,15126,United Arab Emirates,AE,608,4,14,1598000000,399600,6400000,4800000,76700000,3400000,2020,Dec,19,12,12/19/2020
334,ok,DUDU e CAROL,21600000,9597894786,Autos & Vehicles,2942,Brazil,BR,481,15,90,193174000,48300,772700,579500,9300000,300000,2013,Mar,2,3,3/2/2013
335,ok,Village Cooking Channel,21600000,5863377051,Howto & Style,219,India,IN,1082,66,9,194604000,48700,778400,583800,9300000,400000,2018,Apr,25,4,4/25/2018
